"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32"
"72",97223361278.9288,110174499886.302,82300299535.1877,101417812061.186,95962137106.4646,94583644613.324,90991716828.2626,87793952377.8639,22845.5964611562,23015.3701316642,22585.0936872955,22905.2951695945,22823.6167409046,22802.1014010682,22744.9285290763,22689.2448233507,10.7097651033001,4.47052559934053,14.6893884834273,8.79416074096982,9.2502041305355,10.1898560796761,11.4014678905831,12.6925285824069,39.5352883035782,51.4757984208533,25.4829029869112,43.4313192414288,38.9462341820408,37.6140395749579,34.2235142519975,31.1456216165621
"73",94480085175.1957,107205436288.799,79988365623.744,98584394661.2327,93240114419.122,91907552299.9853,88379541181.731,85280911725.1906,21821.3171925324,21993.0629891291,21561.5938897392,21881.4359810267,21802.2815363079,21780.9348674181,21722.488303295,21666.7253118196,11.8769898212443,4.82363214470422,17.4393269677135,9.64704812082401,10.2648215764559,11.361108628209,12.8677548065343,14.532015652471,43.8303361937068,55.5374684556577,30.2225802555031,47.6333499424381,43.2064162942852,41.9240311298925,38.6080518130149,35.6385549772845
"74",88841169776.5655,102202488258.73,73178296507.5311,93193866233.3912,87770676617.3871,86304478381.6398,82549773059.8409,79159833219.0534,51810.3764372923,52233.4036366484,51177.7587059292,51957.9644401456,51763.4088216,51711.620121871,51567.5141853186,51431.8500846846,13.7229415542778,5.47805817392128,20.6071682432322,11.0835031493204,11.9149063432622,13.203393013053,15.0493774389754,17.0691776263687,50.6522696036539,63.0746282044389,35.7461648394585,54.7325661293986,50.1604453853031,48.7324201965489,45.1674882987513,41.8793954940696
"75",80341308850.0865,95208896377.0233,62575762393.5542,85217802363.6924,79534918752.9812,77842109491.3719,73598287410.5524,69696704320.4129,135149.494359033,136438.159290947,133091.445912258,135607.077189385,135030.511972297,134863.113625027,134409.416866155,133965.796964626,13.939995026193,5.68525455244631,19.7870911194477,11.3574271376903,12.1626260945354,13.4215494383952,15.1467211179613,16.9689237304998,51.4740998493569,65.4663878599489,34.3748261417347,56.1002207906159,51.221140912901,49.5582787281132,45.4857449673931,41.6665097858068
"76",72401787369.9344,88103931817.9687,54065151544.3661,77511250106.3612,71607292569.488,69870060508.606,65397462368.9493,61376247985.0966,26296.8297674997,26626.4862534511,25717.9432329442,26416.6804070445,26275.7081794967,26230.0614541822,26107.1889853099,25982.2156083681,12.1843328372114,5.18756318964794,15.7924991211273,10.0863442862532,10.6216491537151,11.6553727623386,12.908080119543,14.1938451663249,45.0029418861228,59.7390957515849,27.4605725953377,49.8303556166074,44.7414646188281,43.0482244570918,38.7771073292014,34.8697596079746
"77",66478180841.8178,81383127985.23,49830218308.1646,71255452316.0737,65358510224.7848,63822505788.2068,59660725076.6289,56078738810.4369,23255.5876019358,23622.7936426237,22587.4224934614,23390.0673384839,23233.1045152756,23182.3224331167,23040.3543196777,22896.8392400826,10.0142801234995,4.40657565210307,12.2912085607341,8.3843195587575,8.63915640958092,9.45537244595025,10.3255491841859,11.2371725248372,36.9871808328668,50.7453867035515,21.3672162605644,41.421415405844,36.3899110760199,34.9217944751558,31.017400629221,27.6037778354238
"78",61321603392.8745,74412522284.5928,47170118957.2178,65472704920.324,59819443943.2207,58554594772.1191,54997321317.5519,52034899421.9138,36434.7376863522,37074.763201086,35322.3883486772,36666.452367912,36375.9987736595,36292.3935656521,36046.4804949716,35808.8094803652,8.5513996432608,3.77064023911815,10.6934836186673,7.15681341435682,7.26617870060139,7.96626013915693,8.70586996336957,9.52011048805993,31.5798972398591,43.4209057096831,18.5781972880579,35.3541357955191,30.60284738801,29.4175846201171,26.1462205065959,23.3784372075111
"79",56862218307.6187,68179530910.9185,44668069307.568,60447735428.7195,55177847461.1391,54107961629.1183,51096521060.5313,48594782662.934,54574.3374820168,55565.3702227944,52963.4292273577,54927.4001501223,54435.7520520931,54314.128650308,53945.433899,53604.4367146819,7.5700537235954,3.30473915039923,9.71118928862099,6.31082571161096,6.36493275682582,6.98998198643285,7.68277543209193,8.45191827351447,27.9557063970236,38.0557196032204,16.8727592403082,31.1748731117517,26.8068000013677,25.8121108135088,23.0733286699607,20.7551675198186
"80",53783711758.2329,63694811538.5829,43016633461.0109,56932469886.1684,52113928926.8199,51175442038.9691,48567441051.7682,46378408188.1646,39905.7587072755,40637.4464272515,38758.0638309383,40164.175465528,39774.0595685875,39686.6308848827,39423.2304357316,39182.6803327392,6.69338864528267,2.91015534605543,8.61393973150738,5.5732329846178,5.6004285812414,6.15113794916477,6.77576855355574,7.46104241908098,24.7171096927514,33.5115579438582,14.9631441668705,27.5304235952312,23.5859449105148,22.7132685333921,20.3478201830413,18.3199017300445
"81",51645785664.4362,60381333675.8495,42122833217.8383,54424000058.2192,50078701949.2763,49252445021.5363,46967609497.5604,45040656802.9452,57177.5193815019,58209.8269719112,55591.6548877692,57540.2179149914,56969.4810036094,56847.3051402395,56486.0843315179,56155.6035019593,11.6053458383166,5.62440023640877,12.3487411225413,10.0713016588881,9.95431675734406,10.704419799604,11.370740976022,11.9493664656165,23.3150054392087,31.0455496750742,14.7047279866184,25.7913468009605,22.2697871173387,21.5008597522437,19.4291628708062,17.6431889046121
